COLOR,RULE_ID,RULE_NAME,CATEGORY,REASON,JEANNE_QUESTION
GREEN,OPQ-R1,Core Product Pages Have Zero or Near-Zero Body Content,On-Page Content Quality,Measurable trigger; correct DDT terms; zero body correctly treated as critical,
YELLOW,OPQ-R5,Outer Pages Below Minimum Content Threshold,On-Page Content Quality,Trigger uses 300 words but framework sets outer minimum at 1000,"Should the outer-page minimum word threshold be 1000 to match your framework, or remain 300 for this trigger?"
RED,OPQ-R2,Core Product Pages Below Minimum Content Threshold (word_count < 800),On-Page Content Quality,Rule requires 800+ words on core product pages; Jeanne's framework states product pages max 500 words,
GREEN,OPQ-R3,Central Entity Horse Trailer Absent or Under-Represented on Core Pages,On-Page Content Quality,Clear trigger and correct terminology; supports topical anchoring,
GREEN,OPQ-R4,H1 Absent Duplicated or Misaligned With Title Tag,On-Page Content Quality,Structural and measurable; aligns with heading coherence,
GREEN,OPQ-R6,High-Impression Informational Queries Driving Traffic to Off-Topic Outer Pages,On-Page Content Quality,Intent/topical alignment; measurable; no brand or word-count conflict,
GREEN,OPQ-R7,Core and Outer Pages Lacking Proprietary Feature Coverage,On-Page Content Quality,Uses only approved terms (Z-Frame SafeTack SafeBump SafeKick); trigger and diagnosis measurable,
GREEN,TECH-R1,Core Product Pages Missing Indexable Content,Technical SEO,word_count < 300 measurable; 300–500 fits within product max 500.; no conflict,
GREEN,TECH-R2,Core Pages Missing Product Schema,Technical SEO,Measurable schema check; correct brand/feature framing,
GREEN,TECH-R3,Noindex Directive on Non-Utility Core Pages,Technical SEO,Clear trigger and action; no content-length or brand conflict,
GREEN,TECH-R4,Core Pages Absent from XML Sitemap,Technical SEO,Measurable; technical only; no framework or terminology conflict,
GREEN,TECH-R5,Redirect Chains on Core Pages,Technical SEO,Technical and measurable; no content or brand conflict,
GREEN,TECH-R6,Missing or Non-Self-Referential Canonical Tags,Technical SEO,Clear trigger and fix; supports canonical clarity for AI/crawlers,
GREEN,TECH-R7,Core Web Vitals Failures on Core Pages,Technical SEO,Standard CWV thresholds; no content-length or brand conflict,
GREEN,TECH-R8,HTTP Error Status Codes on Core Pages,Technical SEO,Measurable status logic; no framework or brand conflict,
GREEN,SCH-001,Core Product Pages Missing Product Schema with Z-Frame and Proprietary Feature Attributes,Schema & Structured Data,Correct DDT terms; measurable schema trigger; aligns with framework,
GREEN,SCH-002,Organization Schema Incomplete,Schema & Structured Data,Entity/NAP/sameAs; no invented terms; verification note appropriate,
GREEN,SCH-003,FAQPage Schema Absent on Informational and Feature Pages,Schema & Structured Data,Measurable trigger; correct terms; editorial caveat (no fabricated Q&A) correct,
